## Written with SHAMFI (Copyright (c) J. L. B. Line)
## Git describe: 1b81779
## Git date: Thu Jan 30 14:53:15 2020 +0800
## Git branch: master
SOURCE combined_woden P 0 G 5 S 2 7656
COMPONENT SHAPELET 3.399256 -37.277329
SCOEFF 1.0 48.0 -0.000138412824
SCOEFF 1.0 49.0 -0.002071776848
SCOEFF 1.0 50.0 0.000927656920
SCOEFF 1.0 51.0 0.001714022448
SCOEFF 1.0 52.0 -0.001217491463
SCOEFF 1.0 53.0 -0.000410934939
SCOEFF 1.0 54.0 0.000709870441
SCOEFF 1.0 55.0 0.000275643297
SCOEFF 1.0 56.0 0.001181025184
SCOEFF 1.0 57.0 0.000058369879
SCOEFF 1.0 58.0 -0.002049753340
SCOEFF 1.0 59.0 0.000012911254
SCOEFF 1.0 60.0 0.000731648186
SCOEFF 1.0 61.0 0.000208253782
SCOEFF 1.0 62.0 0.000734458633
SCOEFF 1.0 63.0 0.001519087239
SCOEFF 1.0 64.0 -0.001169016728
SCOEFF 1.0 65.0 -0.002469829688
SCOEFF 1.0 66.0 0.001080552740
SCOEFF 1.0 67.0 0.001452354822
SCOEFF 1.0 68.0 0.000490243139
SCOEFF 1.0 69.0 -0.000851348339
SCOEFF 1.0 70.0 -0.000744251670
SCOEFF 1.0 71.0 0.000103316577
SCOEFF 1.0 72.0 -0.000664875653
SCOEFF 1.0 73.0 0.000800037176
SCOEFF 1.0 74.0 0.001866867875
SCOEFF 1.0 75.0 -0.000616545533
SCOEFF 1.0 76.0 -0.000787701018
SCOEFF 1.0 77.0 -0.001436985103
SCOEFF 1.0 78.0 -0.000214358812
SCOEFF 1.0 79.0 0.002393347802
SCOEFF 1.0 80.0 0.000167969691
SCOEFF 1.0 81.0 -0.001143163663
SCOEFF 1.0 82.0 0.000358317214
SCOEFF 1.0 83.0 -0.000276190338
SCOEFF 1.0 84.0 -0.000332282957
SCOEFF 1.0 85.0 0.000470325128
SCOEFF 2.0 0.0 0.080946313546
SCOEFF 2.0 1.0 0.006628253174
SCOEFF 2.0 2.0 0.049372955962
SCOEFF 2.0 3.0 -0.003528366668
SCOEFF 2.0 4.0 0.040209602357
SCOEFF 2.0 5.0 -0.000588730696
SCOEFF 2.0 6.0 0.035333073684
SCOEFF 2.0 7.0 0.000947500383
SCOEFF 2.0 8.0 0.024936259974
SCOEFF 2.0 9.0 -0.000086889526
SCOEFF 2.0 10.0 0.018703128653
SCOEFF 2.0 11.0 -0.000555206411
SCOEFF 2.0 12.0 0.017987614458
SCOEFF 2.0 13.0 -0.000144153069
SCOEFF 2.0 14.0 0.015229126442
SCOEFF 2.0 15.0 -0.001243361578
SCOEFF 2.0 16.0 0.011535543929
SCOEFF 2.0 17.0 0.000612757423
